2026-09-18 08:02:10 +0000: Memory Usage (427396K) : pempoly_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427396K) : fbe_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427524K) : empoly_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427524K) : ldmos_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427524K) : pbiwind_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427652K) : digisub_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427652K) : nodrc_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427652K) : text_drw has 25252 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427780K) : via4_drw has 4260 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427908K) : metal5_drw has 984 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427908K) : metal5_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428036K) : metal5_mask has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428036K) : metal5_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428036K) : metal5_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428164K) : metal5_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428164K) : metal5_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428164K) : metal5_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428164K) : metal5_noqrc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428292K) : metal5_res has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428292K) : metal5_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428420K) : metal5_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428420K) : radhard_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428548K) : memcap_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428548K) : varicap_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428676K) : flash_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428676K) : intbondvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428804K) : intbondmet_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428804K) : devbondvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428804K) : devbondmet_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428932K) : devtrench_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (428932K) : redist_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429060K) : graphbot_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429060K) : graphtop_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429188K) : antvia1_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429188K) : antmetal2_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429316K) : graphcont_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429316K) : siwg_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429444K) : siwg_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429444K) : siwg_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429444K) : sigrating_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429572K) : singrating_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429572K) : graphpas_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429700K) : emwind3_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429700K) : emwihv3_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429828K) : redbulay_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429828K) : smos_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429956K) : graphpad_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (429956K) : polimide_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430084K) : polimide_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430084K) : recog_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430084K) : recog_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430212K) : recog_esd has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430212K) : recog_diode has 14 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430340K) : recog_tsv has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430340K) : recog_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430468K) : recog_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430468K) : recog_pillar has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430596K) : recog_sbump has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430596K) : recog_otp has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430596K) : recog_pdiode has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430724K) : recog_mom has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430724K) : recog_pcm has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430852K) : colopen_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430852K) : graphmetal1_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430980K) : graphmetal1_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (430980K) : graphmetal1_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431108K) : graphmetal1_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431108K) : graphmetal1_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431236K) : graphmet1l_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431236K) : graphmet1l_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431236K) : graphmet1l_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431364K) : graphmet1l_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431364K) : graphmet1l_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431492K) : extblock_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431492K) : nldd_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431620K) : pldd_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431620K) : next_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431748K) : pext_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431748K) : nexthv_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431876K) : pexthv_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431876K) : graphgate_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (431876K) : sinwg_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432004K) : sinwg_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432004K) : sinwg_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432132K) : mempad_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432132K) : topvia1_drw has 946 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_drw has 45 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_pin has 10 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_mask has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_text has 10 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_noqrc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_res has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal1_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : inldpwl_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : polyres_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : polyres_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : vmim_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : nbulaycut_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : antmetal1_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topvia2_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_mask has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_noqrc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_res has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : topmetal2_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : snsring_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : sensor_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : snsarms_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : snscmosvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : colwind_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : flm_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : hafniumox_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : memvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : thinfilmres_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : rfmem_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2m3 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2m4 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2m5 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2tm1 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2tm2 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m3m4 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m3m5 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m3tm1 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m3tm2 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m4m5 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m4tm1 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m4tm2 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m5tm1 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m5tm2 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_tm1tm2 has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m1sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m2sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m3sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m4sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_m5sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_tm1sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : norcx_tm2sub has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : snsbotvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : snstopvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : deepvia_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : fgetch_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : ctrgat_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : fgimp_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : emwihv_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : lbe_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : alcustop_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : nometfiller_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : prboundary_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange0_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange0_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange0_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange1_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange1_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange1_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange2_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange2_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange2_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange3_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange3_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (432260K) : exchange3_text has 0 polygons
