2026-09-18 09:42:39 +0000: Memory Usage (428964K) : metal5_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429092K) : metal5_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429092K) : metal5_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429220K) : metal5_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429220K) : metal5_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429348K) : metal5_res has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429348K) : metal5_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429348K) : metal5_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429476K) : radhard_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429476K) : memcap_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429604K) : varicap_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429604K) : flash_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429732K) : intbondvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429732K) : intbondmet_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429860K) : devbondvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429860K) : devbondmet_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429988K) : devtrench_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429988K) : redist_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (429988K) : graphbot_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430116K) : graphtop_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430116K) : antvia1_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430244K) : antmetal2_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430244K) : graphcont_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430372K) : siwg_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430372K) : siwg_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430500K) : siwg_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430500K) : sigrating_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430628K) : singrating_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430628K) : graphpas_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430628K) : emwind3_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430756K) : emwihv3_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430756K) : redbulay_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430884K) : smos_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (430884K) : graphpad_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431012K) : polimide_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431012K) : polimide_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431140K) : recog_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431140K) : recog_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431140K) : recog_esd has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431268K) : recog_diode has 14 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431268K) : recog_tsv has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (431396K) : recog_iprobe has 0 polygons
